"RelativePath","RetainedVersions","OldestRetainedLocalTime","NewestRetainedLocalTime","AtObservedRetentionLimit"
".vscode\extensions.json","1","2026-09-04 12:28:53 -07:00","2026-09-04 12:28:53 -07:00","False"
"portable-windows\server.cjs","2","2026-09-07 19:45:50 -07:00","2026-09-07 19:57:24 -07:00","False"
"portable-windows\Start Barnes Maze Analyzer.bat","2","2026-09-07 19:46:08 -07:00","2026-09-07 19:57:48 -07:00","False"
"src\App.tsx","50","2026-09-06 22:23:56 -07:00","2026-09-07 13:22:41 -07:00","True"
"src\calibration\arena.ts","2","2026-09-01 13:21:20 -07:00","2026-09-01 13:50:40 -07:00","False"
"src\calibration\holes.ts","4","2026-09-03 10:19:32 -07:00","2026-09-03 11:34:34 -07:00","False"
"src\components\ArenaCalibrationView.tsx","13","2026-09-01 13:29:02 -07:00","2026-09-03 10:11:02 -07:00","False"
"src\components\ArenaMaskPreview.tsx","1","2026-09-01 15:44:06 -07:00","2026-09-01 15:44:06 -07:00","False"
"src\components\BackgroundPreview.tsx","1","2026-09-02 11:03:00 -07:00","2026-09-02 11:03:00 -07:00","False"
"src\components\GrayscalePreview.tsx","1","2026-09-01 12:49:03 -07:00","2026-09-01 12:49:03 -07:00","False"
"src\components\HoleCalibrationView.tsx","29","2026-09-03 10:20:04 -07:00","2026-09-03 11:46:18 -07:00","False"
"src\components\HoleEventReviewer.tsx","50","2026-09-05 18:15:07 -07:00","2026-09-06 14:57:29 -07:00","True"
"src\components\HoleInvestigationPreview.tsx","6","2026-09-04 13:26:29 -07:00","2026-09-04 15:27:23 -07:00","False"
"src\components\OrientationPreview.tsx","2","2026-09-04 12:50:52 -07:00","2026-09-04 12:55:07 -07:00","False"
"src\components\SegmentationPreview.tsx","13","2026-09-02 11:14:02 -07:00","2026-09-02 15:08:58 -07:00","False"
"src\components\TrajectoryComparisonView.tsx","9","2026-09-02 17:20:39 -07:00","2026-09-02 17:42:07 -07:00","False"
"src\components\TrajectoryPreview.tsx","11","2026-09-02 16:29:07 -07:00","2026-09-02 17:44:13 -07:00","False"
"src\models\tracking.ts","50","2026-09-01 13:21:00 -07:00","2026-09-05 20:25:04 -07:00","True"
"src\styles.css","3","2026-09-01 12:53:38 -07:00","2026-09-01 16:02:03 -07:00","False"
"src\tracking\arenaMask.ts","3","2026-09-01 13:22:46 -07:00","2026-09-01 13:25:12 -07:00","False"
"src\tracking\behavioralMetrics.ts","7","2026-09-04 21:11:57 -07:00","2026-09-05 11:22:22 -07:00","False"
"src\tracking\bodyTracker.ts","9","2026-09-02 11:50:03 -07:00","2026-09-04 12:32:17 -07:00","False"
"src\tracking\escapeDetection.ts","6","2026-09-04 22:16:01 -07:00","2026-09-05 11:42:55 -07:00","False"
"src\tracking\frameProcessor.ts","2","2026-09-01 12:19:08 -07:00","2026-09-01 13:01:22 -07:00","False"
"src\tracking\grayscale.ts","6","2026-09-01 12:18:40 -07:00","2026-09-01 13:17:36 -07:00","False"
"src\tracking\holeInvestigation.ts","27","2026-09-04 13:19:00 -07:00","2026-09-04 16:21:09 -07:00","False"
"src\tracking\orientation.ts","1","2026-09-04 12:17:55 -07:00","2026-09-04 12:17:55 -07:00","False"
"src\tracking\searchStrategy.ts","17","2026-09-05 12:05:56 -07:00","2026-09-05 14:44:05 -07:00","False"
"src\tracking\segmentation.ts","3","2026-09-02 10:15:34 -07:00","2026-09-02 11:24:07 -07:00","False"
"src\tracking\targetQuadrant.ts","1","2026-09-05 12:05:25 -07:00","2026-09-05 12:05:25 -07:00","False"
"src\tracking\trackAnalysis.ts","2","2026-09-02 15:39:14 -07:00","2026-09-02 16:19:12 -07:00","False"
"src\tracking\trajectoryMetrics.ts","1","2026-09-03 09:56:42 -07:00","2026-09-03 09:56:42 -07:00","False"
"src\tracking\trajectoryProcessing.ts","4","2026-09-02 16:53:01 -07:00","2026-09-02 16:53:52 -07:00","False"
"src\tracking\trialWindow.ts","2","2026-09-02 15:59:08 -07:00","2026-09-02 15:59:41 -07:00","False"
"src\video\decoderClient.ts","14","2026-09-01 10:47:15 -07:00","2026-09-06 12:50:08 -07:00","False"
"src\video\messages.ts","8","2026-09-01 12:19:49 -07:00","2026-09-02 15:11:10 -07:00","False"
"src\video\timingValidation.test.ts","1","2026-09-01 11:00:56 -07:00","2026-09-01 11:00:56 -07:00","False"
"src\video\timingValidation.ts","7","2026-09-01 10:45:28 -07:00","2026-09-07 19:26:43 -07:00","False"
"src\video\trackingClient.ts","1","2026-09-02 15:25:33 -07:00","2026-09-02 15:25:33 -07:00","False"
"src\vite-env.d.ts","1","2026-09-07 19:29:10 -07:00","2026-09-07 19:29:10 -07:00","False"
"src\workers\videoDecoder.worker.ts","50","2026-09-02 10:22:18 -07:00","2026-09-06 13:55:28 -07:00","True"
